user_id,session_id,session_start,source,medium,campaign
1d9f470b4269341188b1935d5b6957aaa636ac23b4c7a62a8015ea5ae5222331,SESS-1000,2024-06-01 00:00:00,tiktok,organic_social,brand_awareness
eeb0c9e4e5333754568d8580c68f0d1510dd21947e94247b6d972fc20822648c,SESS-1001,2024-06-01 04:00:00,tiktok,direct,summer_sale
56bbf4b0beb375ceb6982c24a85a24f2dfc077608aa1f49595929d3cc5062ae0,SESS-1002,2024-06-01 08:00:00,tiktok,organic_social,brand_awareness
f051d761f2c61cd62f968017e50f2256cc55cca5a57c57ca295c845da95fcae5,SESS-1003,2024-06-01 12:00:00,google,cpc,retargeting
4a145197b45bfbc3429b0fc774652a99b55144e2c0af257dd38fb2ade6bf9161,SESS-1004,2024-06-01 16:00:00,facebook,cpc,brand_awareness
24775c30ade2616ab886dea3a2da91548940c5185cdca3f01f3707ec40e3399e,SESS-1005,2024-06-01 20:00:00,facebook,direct,summer_sale
339bd33f3979c9306ea52832c76bdd3189911e073d913944f35fc068fdcdb7df,SESS-1006,2024-06-02 00:00:00,google,cpc,brand_awareness
2322419f38ef7f9e3701af86a0c2194fededff75310423c2e2987cf1fcadd5ca,SESS-1007,2024-06-02 04:00:00,facebook,cpc,summer_sale
da54c62f8980cca5030f41a576db19c0d943494c2fa109ef6c2de60978c8d752,SESS-1008,2024-06-02 08:00:00,facebook,cpc,retargeting
78646d32580fd341de61a194eb3aa178c259e43dbedaf78e15372e1051509a53,SESS-1009,2024-06-02 12:00:00,google,cpc,retargeting
7f0327e1565e61d22301249b46e566d7e48b7d13096d9ab621e4593c70a3eeeb,SESS-1010,2024-06-02 16:00:00,direct,direct,summer_sale
6432806bbc0ae97e003ff41c0f1cd5ef210ece1dead65a0dc6991278d6cf642e,SESS-1011,2024-06-02 20:00:00,tiktok,organic_social,summer_sale
be6b149ddae328f3935aebd4cd3e14ffa4f0323d0273daada1a2f8a4c2c0a6e4,SESS-1012,2024-06-03 00:00:00,direct,direct,brand_awareness
a9fc324f7222b0200f66c31afa985732b54babd19081df05c555b452e9991869,SESS-1013,2024-06-03 04:00:00,google,affiliate,brand_awareness
375e3da5863bae1300751529f64e548d4b4456d2b07d8c5d44f4d7182cd5f093,SESS-1014,2024-06-03 08:00:00,direct,direct,retargeting
6ffaf6e6492de53289d49a56a57c43064ad03b286bce5d684483fed946a0aa33,SESS-1015,2024-06-03 12:00:00,facebook,organic_social,retargeting
36890fdcc281e5e681ea7093d2470fdd9deff81648f6f5e7ac6c46215925c29e,SESS-1016,2024-06-03 16:00:00,facebook,affiliate,brand_awareness
8c91559cd5a9407da9fafd194bfdefcc43557488e8734d9326fb5c023f6128fe,SESS-1017,2024-06-03 20:00:00,google,affiliate,retargeting
dcc8cc37cca8be1070786eda965b8de89ae2463743730608873e6b45a1a590da,SESS-1018,2024-06-04 00:00:00,tiktok,organic_social,retargeting
c44fdbf5a4117a0ee139664cb4c49680a136bc9c681ce74f6f186d6d4d913926,SESS-1019,2024-06-04 04:00:00,facebook,direct,summer_sale
